FOVId,cell_num,file_name,file_base,probe_561_loc_score,probe_638_loc_score
910,10,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,11,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,12,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell12.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,13,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell13.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,14,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell14.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
911,1,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,2,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,3,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,4,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,5,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,6,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,7,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,8,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,9,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,10,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,11,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,12,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell12.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,13,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell13.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
911,14,5500000013_63X_20190807_S1_P21_B2_annotations_corrected.Actn2_cell14.jpg,5500000013_63X_20190807_S1_P21_B2_annotations_corrected,,
912,1,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,2,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,3,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,4,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,5,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,6,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,7,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,8,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,9,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,10,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,11,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,12,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell12.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,13,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell13.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,14,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell14.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,15,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell15.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
912,16,5500000013_63X_20190807_S1_P22_B2_annotations_corrected.Actn2_cell16.jpg,5500000013_63X_20190807_S1_P22_B2_annotations_corrected,,
